property_id,owner_person_id,property_address,purchase_date,purchase_value_inr
PROP00052,PER00919,"05, Atwal Circle, Berhampur 049350",2026-01-18,4698430
PROP00053,PER00739,"450, Aurora Nagar, Meerut 084414",2025-11-26,20641219
PROP00054,PER00586,"H.No. 06, Acharya Chowk, Patiala 202407",2018-08-25,574803
PROP00055,PER00846,"68, Ramaswamy Circle, Madurai 279343",2018-07-07,7097418
PROP00056,PER00824,"H.No. 728, Khanna Chowk, Akola 774272",2019-04-26,32636168
PROP00057,PER00161,"77/394, Chahal Zila, Sonipat 683634",2025-08-30,5119352
PROP00058,PER00230,"75/900, Borah Circle, Morena 528196",2020-08-25,10432836
PROP00059,PER00809,"884, Sandhu Zila, Jalna 620883",2025-06-29,4569243
PROP00060,PER00155,"H.No. 46, Barad Road, Agartala-419376",2024-12-15,0
PROP00061,PER00599,"H.No. 143, Cheema Circle, Amroha 892839",2019-04-30,3869939
PROP00062,PER00873,"59, Bhatt Marg, Kolkata-554723",2018-08-03,4296719
PROP00063,PER00863,"46/59, Setty Circle, Mathura 693977",2022-09-28,0
PROP00064,PER00974,"708, Kanda Marg, Thane-780758",2019-08-28,0
PROP00065,PER00818,"65/529, Deo Path, Hosur 754647",2019-01-16,2115091
PROP00066,PER00878,"47/043, Bhatnagar Road, Bettiah-932415",2019-09-22,2316365
PROP00067,PER00196,"H.No. 182, Borah Chowk, Satara 393379",2025-05-26,2218675
PROP00068,PER00845,"99/662, Prasad, Karimnagar-692298",2021-03-04,4285966
PROP00069,PER00310,"H.No. 054, Narayanan, Asansol 992285",2019-05-28,16800644
PROP00070,PER00217,"890, Aurora Chowk, Tumkur 153017",2024-09-28,3109305
PROP00071,PER00141,"25, Bir Street, Kharagpur 115706",2023-10-04,1085350
PROP00072,PER00929,"63/306, Mittal Circle, Patna-318390",2021-05-12,2236016
PROP00073,PER00282,"73, Murty Zila, Bathinda 048254",2023-03-16,2337559
PROP00074,PER00530,"46/39, Jhaveri Ganj, Dindigul-246661",2021-01-03,3742528
PROP00075,PER00537,"82/09, Chowdhury Ganj, Katihar-053355",2022-08-30,2782604
PROP00076,PER00829,"79, Pant Street, Thiruvananthapuram-355227",2021-12-20,2598104
PROP00077,PER00776,"645, Khalsa Marg, Phagwara-595837",2024-01-07,3363491
PROP00078,PER00959,"H.No. 806, Bhavsar Circle, Kalyan-Dombivli-429317",2021-04-29,53469449
PROP00079,PER00144,"62, Taneja Circle, Buxar-086561",2020-08-10,11212359
PROP00080,PER00358,"70, Sastry Road, Loni 205709",2019-06-08,1019338
PROP00081,PER00038,"H.No. 834, Karnik Street, Bellary 256755",2024-04-04,53925516
PROP00082,PER00668,"H.No. 665, Oommen Chowk, Amaravati-448973",2023-07-14,4136135
PROP00083,PER00758,"H.No. 856, Kari Marg, Haldia 634313",2022-05-10,4385333
PROP00084,PER00864,"H.No. 74, Morar Street, Noida-568234",2025-09-28,4982042
PROP00085,PER00655,"H.No. 72, Bandi Nagar, Uluberia 577766",2025-04-04,8566673
PROP00086,PER00149,"34, Dugar Nagar, Madhyamgram-497576",2020-03-29,5353437
PROP00087,PER00554,"570, Badal Chowk, Satara 886734",2020-12-20,3789111
PROP00088,PER00017,"199, Raghavan Street, Tadepalligudem-869024",2019-05-25,1948517
PROP00089,PER00074,"H.No. 68, Suri, Darbhanga 036167",2024-09-17,1113677
PROP00090,PER00506,"20/40, Barman Chowk, Dibrugarh 828029",2018-03-17,853754
PROP00091,PER00646,"H.No. 99, Jaggi Nagar, Proddatur 187832",2023-11-18,3357375
PROP00092,PER00254,"13, Dey Path, Gopalpur 141209",2021-10-14,1459554
PROP00093,PER00551,"312, Chhabra Ganj, Katihar-929956",2020-07-16,2910936
PROP00094,PER00764,"H.No. 706, Dewan Ganj, Bhimavaram 719101",2022-02-18,8126432
PROP00095,PER00403,"833, Sheth Ganj, Madanapalle 397442",2024-06-23,3088721
PROP00096,PER00088,"H.No. 39, Rana Road, Ozhukarai 073272",2018-08-20,4856988
PROP00097,PER00624,"07, Dara Zila, Maheshtala-068503",2019-10-04,5079291
PROP00098,PER00559,"48, Butala Zila, Bijapur-479193",2025-02-21,7361242
PROP00099,PER00813,"08, De Ganj, Rajpur Sonarpur-186885",2025-01-21,0
PROP00100,PER00534,"H.No. 202, Aggarwal Chowk, Baranagar 391110",2025-02-02,1429376
PROP00101,PER00212,"H.No. 828, Dewan Zila, Raebareli 802625",2018-02-14,4129760
PROP00102,PER00874,"198, Soman Ganj, Tirupati-230103",2022-12-12,21410758
PROP00103,PER00174,"H.No. 706, Mander Marg, Bardhaman-589072",2024-11-15,607311
PROP00104,PER00611,"H.No. 59, Shanker Zila, Guwahati-116327",2019-03-28,3339531
PROP00105,PER00677,"02/76, Randhawa Zila, Bhimavaram 385937",2021-06-01,1164629
PROP00106,PER00116,"H.No. 612, Sandal Ganj, Mehsana 952813",2024-11-30,7427454
PROP00107,PER00986,"H.No. 537, Srivastava Path, Raiganj-183698",2022-12-15,1067400
PROP00108,PER00562,"19/788, Ganesh Road, Nagpur-330137",2021-05-14,4303792
PROP00109,PER00042,"H.No. 559, Sarma Chowk, Bareilly 787203",2021-04-21,1319388
PROP00110,PER00954,"H.No. 812, Prashad Ganj, Thane 282143",2018-07-19,18530832
PROP00111,PER00872,"73, Pandey Path, Sangli-Miraj & Kupwad 738372",2025-12-15,5278975
PROP00112,PER00917,"39/928, Bal, Kalyan-Dombivli 182436",2022-04-13,11272906
PROP00113,PER00241,"H.No. 39, Sha Chowk, Bihar Sharif-768251",2018-11-15,1941671
PROP00114,PER00301,"608, Dash Chowk, Bellary 818750",2024-06-21,4635745
PROP00115,PER00471,"76, Bassi Road, Gaya-928375",2025-08-01,14383011
PROP00116,PER00490,"57/09, Malhotra Ganj, Panihati 437059",2023-01-26,4017017
PROP00117,PER00851,"H.No. 99, Lata Circle, Tiruvottiyur 211930",2022-06-02,9463155
PROP00118,PER00519,"19/38, Murty Chowk, Amaravati 475810",2020-08-01,3457914
PROP00119,PER00687,"H.No. 948, Aurora Nagar, Gorakhpur-783796",2021-06-16,3202685
PROP00120,PER00011,"12/09, Maharaj Nagar, Mumbai 170353",2023-02-14,3476495
PROP00121,PER00170,"376, Bala Road, Bhiwani-146920",2018-11-24,3711663
PROP00122,PER00107,"101, More Road, Surendranagar Dudhrej 674486",2018-12-13,4025459
PROP00123,PER00062,"97, Gulati Zila, Thrissur 283500",2022-04-12,19423562
PROP00124,PER00777,"96/88, Walia Zila, Bongaigaon 816349",2021-10-31,6661581
PROP00125,PER00220,"H.No. 29, Mukhopadhyay Nagar, Bhind-984980",2019-05-05,4563755
PROP00126,PER00996,"H.No. 71, Talwar Chowk, Thanjavur-061818",2024-02-20,3727384
PROP00127,PER00979,"29/49, Dutt Circle, Sikar 864495",2021-07-09,1736816
PROP00128,PER00495,"770, Bumb, Bareilly 732498",2019-02-02,729795
PROP00129,PER00300,"H.No. 42, Gupta Zila, Kulti 276096",2025-05-13,2042303
PROP00130,PER00008,"521, Memon Path, Chandrapur 308417",2021-02-05,14117505
PROP00131,PER00569,"70/26, Baral, Thrissur 827098",2022-12-14,0
PROP00132,PER00658,"503, Kadakia Chowk, Rohtak 646390",2020-09-26,0
PROP00133,PER00500,"H.No. 14, Jhaveri Circle, Nashik-390018",2018-08-12,3339248
PROP00134,PER00928,"90, Mangal Nagar, Raiganj-313317",2020-03-07,4490104
PROP00135,PER00572,"H.No. 966, Ghosh Street, Khammam 102483",2020-02-14,19269533
PROP00136,PER00423,"49/27, Dar Ganj, Chandigarh 202413",2024-03-17,1236264
PROP00137,PER00888,"H.No. 46, Madan, Chandigarh-071013",2022-05-25,2191902
PROP00138,PER00525,"H.No. 05, Gopal Ganj, Dindigul 559812",2023-03-26,4026812
PROP00139,PER00459,"54, Verma Marg, Sambhal 521190",2023-09-04,2818957
PROP00140,PER00746,"37/64, Ben Ganj, Unnao-267809",2018-02-25,3945853
PROP00141,PER00980,"75/773, Sood Path, Rajkot 264883",2024-05-15,8379531
PROP00142,PER00486,"09/36, Gola Marg, Gudivada 476605",2021-06-25,3924495
PROP00143,PER00961,"02/20, Pant Marg, Ongole-594438",2020-01-25,1763598
PROP00144,PER00835,"53, Yohannan Zila, Muzaffarpur-465685",2023-02-16,3611473
PROP00145,PER00918,"190, Gole Road, Dehri 680446",2022-06-27,24661780
PROP00146,PER00619,"04, Chadha Road, Howrah-062001",2019-11-07,13039452
PROP00147,PER00517,"61, Yohannan Zila, Muzaffarpur-554982",2018-06-15,1353213
PROP00148,PER00420,"H.No. 249, Pau Path, Bokaro-292240",2018-10-28,3833310
PROP00149,PER00337,"039, Mani Nagar, Gurgaon 546259",2022-09-03,3615808
PROP00150,PER00048,"90/863, Sarna Ganj, Dindigul-777453",2020-08-19,3012098
PROP00151,PER00180,"H.No. 80, Mani Street, Raipur 047352",2020-04-23,19354377
PROP00152,PER00406,"78, Thaman Zila, Tezpur 649910",2024-12-18,990863
PROP00153,PER00680,"73/774, Pradhan Street, Hapur 112514",2018-09-18,4797718
PROP00154,PER00830,"H.No. 275, Arya Path, Bhilwara-157831",2025-10-22,3264108
PROP00155,PER00762,"94/96, Biswas Path, Solapur 343874",2025-09-22,13406729
PROP00156,PER00464,"08/03, Dave, Katni 029402",2020-03-29,1959717
PROP00157,PER00346,"77, Nagy Chowk, Kumbakonam-079806",2019-01-01,4732264
PROP00158,PER00421,"27/34, Swamy Street, Salem 734521",2018-02-17,5707039
PROP00159,PER00647,"729, Golla, Imphal-477683",2025-12-10,3659261
PROP00160,PER00781,"76/52, Manda Nagar, Mangalore 850504",2026-01-06,1682888
PROP00161,PER00822,"15, Mohanty, Patiala 010540",2025-05-03,2743263
PROP00162,PER00309,"H.No. 741, Desai, Mau-616180",2025-09-14,2580771
PROP00163,PER00951,"H.No. 486, Chandra Ganj, Akola-967166",2021-06-01,16841119
PROP00164,PER00895,"H.No. 712, Wali Street, Anand-273714",2025-08-02,3255736
PROP00165,PER00898,"69/26, Konda, Kozhikode 421178",2021-04-20,6230013
PROP00166,PER00867,"844, Deol Marg, Singrauli-613100",2026-01-02,2397180
PROP00167,PER00446,"H.No. 271, Sheth, Kavali 012684",2018-11-03,2877659
PROP00168,PER00071,"04/16, Pai Nagar, Khammam-873366",2021-02-16,8886899
PROP00169,PER00649,"99/854, Bhargava Road, Mumbai 994258",2021-01-08,6446429
PROP00170,PER00067,"320, Yogi Road, Tumkur 254939",2023-06-24,7901885
PROP00171,PER00782,"H.No. 14, Narula Road, Sonipat-312709",2019-07-11,4271376
PROP00172,PER00156,"H.No. 69, Rana Road, Kishanganj 889920",2024-07-20,830872
PROP00173,PER00103,"H.No. 089, Handa Nagar, Kalyan-Dombivli-834414",2022-03-16,2994930
PROP00174,PER00154,"H.No. 059, Varghese Chowk, Mirzapur-726434",2024-10-04,2384539
PROP00175,PER00910,"43/14, Oza Circle, Chandigarh-535109",2020-06-14,2618471
PROP00176,PER00218,"H.No. 104, Sarkar Street, Shimoga-892754",2018-09-15,9075078
PROP00177,PER00871,"H.No. 66, Gandhi Street, Motihari 295235",2021-08-12,685090
PROP00178,PER00848,"57, Behl Circle, Mango 539195",2024-10-06,4895169
PROP00179,PER00411,"H.No. 473, Varty Path, Guna-329689",2020-11-01,5817002
PROP00180,PER00027,"004, Mitter Chowk, Nadiad-254254",2024-06-27,4041221
PROP00181,PER00941,"H.No. 22, Krishna Street, Hospet 850975",2024-01-29,5508810
PROP00182,PER00433,"12/076, Sathe Road, Jaunpur-648115",2023-01-31,742053
PROP00183,PER00427,"H.No. 407, Sankaran Path, Morbi-957836",2018-11-04,2781896
PROP00184,PER00377,"84, Raman Path, Panvel 495946",2022-02-13,3013927
PROP00185,PER00418,"57, Sidhu Circle, Haldia 349194",2022-02-08,1161896
PROP00186,PER00378,"06, Rajagopal Nagar, Sasaram 094954",2021-11-24,5384478
PROP00187,PER00231,"54/584, Peri Path, Saharsa-573559",2020-05-16,5345838
PROP00188,PER00607,"097, Chakrabarti Street, Tiruppur-461469",2019-04-03,3116319
PROP00189,PER00224,"10/18, Thakkar Chowk, Dharmavaram 300820",2021-01-03,26263221
PROP00190,PER00262,"30/327, Loke Ganj, Nizamabad-480729",2022-08-07,3696300
PROP00191,PER00415,"H.No. 772, Doctor Zila, Kishanganj 124675",2018-08-10,1797321
PROP00192,PER00018,"549, Chokshi Zila, Morena-916178",2020-06-07,3768823
PROP00193,PER00866,"608, Roy Circle, Dhanbad 246116",2023-04-24,4281384
PROP00194,PER00448,"13/14, Sodhi Marg, Tirunelveli 310164",2022-10-26,1631745
PROP00195,PER00084,"H.No. 098, Gour Nagar, Hazaribagh 871824",2021-10-25,1816720
PROP00196,PER00493,"58/092, Sandhu Zila, Allahabad 183041",2025-02-26,4306125
PROP00197,PER00467,"216, Saran Zila, Giridih 081383",2022-03-31,63107199
PROP00198,PER00362,"H.No. 50, Ahuja Chowk, Phagwara 657343",2019-09-24,4499060
PROP00199,PER00585,"271, Pant Road, Shahjahanpur-759386",2018-05-26,7834776
PROP00200,PER00545,"97/58, Bail Path, Coimbatore-518449",2024-08-25,28137562
