account_number,owner_id,bank_name,account_type,open_date,balance_inr
1001001032,PER00024,HDFC Bank,Savings,2013-01-02,217328
1001001033,PER00025,HDFC Bank,Savings,2013-09-23,112045
1001001034,PER00026,ICICI Bank,Savings,2018-09-01,49704
1001001035,PER00026,SBI,Savings,2015-11-28,138646
1001001036,PER00027,SBI,Savings,2024-05-19,0
1001001037,PER00027,Kotak Mahindra Bank,Savings,2014-09-22,0
1001001038,PER00028,HDFC Bank,Savings,2017-11-29,168577
1001001039,PER00029,HDFC Bank,Savings,2019-10-20,26676
1001001040,PER00030,HDFC Bank,Savings,2021-01-21,132339
1001001041,PER00031,Kotak Mahindra Bank,Savings,2023-12-02,58492
1001001042,PER00031,Axis Bank,Savings,2016-02-15,230634
1001001043,PER00032,SBI,Savings,2025-02-05,254195
1001001044,PER00033,HDFC Bank,Savings,2021-02-20,42274
1001001045,PER00033,SBI,Savings,2013-08-23,33355
1001001046,PER00034,Axis Bank,Savings,2025-08-02,42267
1001001047,PER00034,Axis Bank,Savings,2019-08-19,19775
1001001048,PER00035,SBI,Savings,2019-06-14,148468
1001001049,PER00036,Kotak Mahindra Bank,Savings,2024-05-03,168700
1001001050,PER00036,ICICI Bank,Savings,2015-11-28,111115
1001001051,PER00037,Kotak Mahindra Bank,Savings,2014-04-08,176633
1001001052,PER00037,SBI,Savings,2020-03-11,98377
1001001053,PER00038,Kotak Mahindra Bank,Savings,2013-12-01,79149
1001001054,PER00038,Kotak Mahindra Bank,Savings,2018-11-13,254276
1001001055,PER00039,SBI,Savings,2023-04-09,71055
1001001056,PER00039,Kotak Mahindra Bank,Savings,2020-03-29,19404
1001001057,PER00040,ICICI Bank,Savings,2016-01-26,95006
1001001058,PER00040,ICICI Bank,Savings,2025-07-21,90103
1001001059,PER00041,SBI,Savings,2023-02-24,224185
1001001060,PER00041,ICICI Bank,Savings,2017-11-09,218380
1001001061,PER00042,HDFC Bank,Savings,2021-10-16,196907
1001001062,PER00043,ICICI Bank,Savings,2025-08-07,51872
1001001063,PER00043,Axis Bank,Savings,2019-03-03,61394
1001001064,PER00044,ICICI Bank,Savings,2025-02-26,78165
1001001065,PER00044,Axis Bank,Savings,2023-01-30,247720
1001001066,PER00045,Kotak Mahindra Bank,Savings,2021-10-06,48553
1001001067,PER00046,Kotak Mahindra Bank,Savings,2021-04-21,78496
1001001068,PER00047,ICICI Bank,Savings,2018-11-20,199890
1001001069,PER00047,Axis Bank,Savings,2021-04-16,131934
1001001070,PER00048,ICICI Bank,Savings,2017-10-10,171042
1001001071,PER00049,Kotak Mahindra Bank,Savings,2017-06-07,219950
1001001072,PER00050,HDFC Bank,Savings,2018-09-15,0
1001001073,PER00051,SBI,Savings,2013-04-03,146243
1001001074,PER00051,SBI,Savings,2018-09-03,167463
1001001075,PER00052,SBI,Savings,2022-09-15,218875
1001001076,PER00053,Kotak Mahindra Bank,Savings,2018-11-08,0
1001001077,PER00054,SBI,Savings,2024-01-22,141653
1001001078,PER00055,ICICI Bank,Savings,2016-09-17,262229
1001001079,PER00055,HDFC Bank,Savings,2014-06-06,173068
1001001080,PER00056,HDFC Bank,Savings,2017-09-27,112477
1001001081,PER00056,ICICI Bank,Savings,2017-02-08,302738
1001001082,PER00057,Kotak Mahindra Bank,Savings,2017-11-08,170243
1001001083,PER00058,HDFC Bank,Savings,2021-09-21,31967
1001001084,PER00059,ICICI Bank,Savings,2017-12-23,198437
1001001085,PER00059,HDFC Bank,Savings,2019-09-29,150338
1001001086,PER00060,Kotak Mahindra Bank,Savings,2025-05-08,174552
1001001087,PER00061,Kotak Mahindra Bank,Savings,2022-07-26,138448
1001001088,PER00062,Axis Bank,Savings,2015-12-05,241122
1001001089,PER00062,SBI,Savings,2024-07-30,157385
1001001090,PER00063,ICICI Bank,Savings,2023-12-20,125035
1001001091,PER00064,SBI,Savings,2023-04-19,160224
1001001092,PER00064,SBI,Savings,2014-08-06,386638
1001001093,PER00065,Axis Bank,Savings,2020-07-28,272338
1001001094,PER00065,HDFC Bank,Savings,2019-05-08,172419
1001001095,PER00066,Kotak Mahindra Bank,Savings,2020-03-03,223984
1001001096,PER00066,HDFC Bank,Savings,2019-12-25,207714
1001001097,PER00067,HDFC Bank,Savings,2025-03-30,48596
1001001098,PER00067,ICICI Bank,Savings,2019-12-29,85519
1001001099,PER00068,HDFC Bank,Savings,2024-03-20,218728
1001001100,PER00068,ICICI Bank,Savings,2021-07-14,132478
1001001101,PER00069,SBI,Savings,2020-11-27,210989
1001001102,PER00070,Kotak Mahindra Bank,Savings,2017-12-14,225776
1001001103,PER00071,ICICI Bank,Savings,2023-12-25,122629
1001001104,PER00071,Kotak Mahindra Bank,Savings,2024-10-22,74768
1001001105,PER00072,SBI,Savings,2011-04-30,153924
1001001106,PER00073,Kotak Mahindra Bank,Savings,2019-12-29,37906
1001001107,PER00073,Axis Bank,Savings,2024-10-14,133244
1001001108,PER00074,HDFC Bank,Savings,2023-09-12,155857
1001001109,PER00074,Axis Bank,Savings,2010-10-19,225010
1001001110,PER00075,HDFC Bank,Savings,2021-10-17,87386
1001001111,PER00076,ICICI Bank,Savings,2024-08-24,61382
1001001112,PER00076,Axis Bank,Savings,2019-04-09,221867
1001001113,PER00077,Axis Bank,Savings,2018-07-23,50776
1001001114,PER00078,Kotak Mahindra Bank,Savings,2014-01-23,47504
1001001115,PER00078,HDFC Bank,Savings,2021-10-01,122580
1001001116,PER00079,HDFC Bank,Savings,2021-04-08,71623
1001001117,PER00079,ICICI Bank,Savings,2013-06-28,77472
1001001118,PER00080,HDFC Bank,Savings,2014-03-30,0
1001001119,PER00081,Axis Bank,Savings,2018-04-24,0
1001001120,PER00082,Axis Bank,Savings,2022-03-14,409747
1001001121,PER00082,Kotak Mahindra Bank,Savings,2013-03-21,635605
1001001122,PER00083,ICICI Bank,Savings,2022-09-14,154138
1001001123,PER00083,ICICI Bank,Savings,2020-09-16,164154
1001001124,PER00084,Kotak Mahindra Bank,Savings,2023-01-25,72734
1001001125,PER00085,SBI,Savings,2020-02-14,322843
1001001126,PER00086,Axis Bank,Savings,2021-01-14,205562
1001001127,PER00086,Axis Bank,Savings,2019-12-27,196734
1001001128,PER00087,SBI,Savings,2022-02-17,328876
1001001129,PER00087,Axis Bank,Savings,2023-01-17,414672
1001001130,PER00088,Axis Bank,Savings,2025-05-05,169555
1001001131,PER00088,Kotak Mahindra Bank,Savings,2016-12-30,95974
1001001132,PER00089,SBI,Savings,2022-08-13,167213
1001001133,PER00090,Kotak Mahindra Bank,Savings,2013-06-25,117379
1001001134,PER00090,Axis Bank,Savings,2014-11-30,74812
1001001135,PER00091,Kotak Mahindra Bank,Savings,2011-11-24,111744
1001001136,PER00092,Axis Bank,Savings,2025-02-17,179313
1001001137,PER00092,SBI,Savings,2020-08-25,53026
1001001138,PER00093,ICICI Bank,Savings,2023-01-15,181461
1001001139,PER00094,Kotak Mahindra Bank,Savings,2018-05-25,218864
1001001140,PER00094,ICICI Bank,Savings,2013-05-06,442153
1001001141,PER00095,Kotak Mahindra Bank,Savings,2015-09-13,175777
1001001142,PER00095,SBI,Savings,2021-03-12,311691
1001001143,PER00096,HDFC Bank,Savings,2020-07-04,303574
1001001144,PER00097,Axis Bank,Savings,2013-10-05,132562
1001001145,PER00097,Kotak Mahindra Bank,Savings,2016-02-15,215244
1001001146,PER00098,SBI,Savings,2017-02-08,392289
1001001147,PER00098,HDFC Bank,Savings,2011-08-06,189015
1001001148,PER00099,Kotak Mahindra Bank,Savings,2023-11-03,133388
1001001149,PER00099,Kotak Mahindra Bank,Savings,2024-09-04,516169
1001001150,PER00100,Kotak Mahindra Bank,Savings,2013-06-02,213470
1001001151,PER00100,Axis Bank,Savings,2023-06-17,127529
1001001152,PER00101,SBI,Savings,2013-08-24,279150
1001001153,PER00101,ICICI Bank,Savings,2018-07-06,203119
1001001154,PER00102,ICICI Bank,Savings,2014-12-13,103873
1001001155,PER00103,HDFC Bank,Savings,2018-02-02,969488
1001001156,PER00104,Axis Bank,Savings,2022-11-26,193079
1001001157,PER00104,ICICI Bank,Savings,2021-09-09,46780
1001001158,PER00105,HDFC Bank,Savings,2013-11-04,110237
1001001159,PER00105,Kotak Mahindra Bank,Savings,2019-02-21,287961
1001001160,PER00106,Axis Bank,Savings,2023-04-25,137458
1001001161,PER00107,Kotak Mahindra Bank,Savings,2012-02-26,149076
1001001162,PER00107,ICICI Bank,Savings,2016-06-24,145600
1001001163,PER00108,Kotak Mahindra Bank,Savings,2025-03-31,54927
1001001164,PER00108,HDFC Bank,Savings,2021-06-05,77020
1001001165,PER00109,ICICI Bank,Savings,2017-12-07,67074
1001001166,PER00110,SBI,Savings,2018-09-23,62529
1001001167,PER00111,Axis Bank,Savings,2023-11-08,636128
1001001168,PER00111,SBI,Savings,2020-04-21,732217
1001001169,PER00112,SBI,Savings,2016-03-20,279774
1001001170,PER00112,HDFC Bank,Savings,2020-04-23,101811
1001001171,PER00113,Axis Bank,Savings,2018-09-24,0
1001001172,PER00114,HDFC Bank,Savings,2018-09-18,255266
1001001173,PER00114,SBI,Savings,2023-03-26,263709
1001001174,PER00115,ICICI Bank,Savings,2010-11-28,154463
1001001175,PER00116,SBI,Savings,2012-06-23,408992
1001001176,PER00116,ICICI Bank,Savings,2012-05-11,151726
1001001177,PER00117,Kotak Mahindra Bank,Savings,2021-09-18,74415
1001001178,PER00118,SBI,Savings,2017-01-27,144869
1001001179,PER00118,Axis Bank,Savings,2019-09-29,324513
1001001180,PER00119,ICICI Bank,Savings,2023-03-31,293768
1001001181,PER00120,HDFC Bank,Savings,2024-09-18,231657
1001001182,PER00120,Kotak Mahindra Bank,Savings,2011-05-04,389213
1001001183,PER00121,HDFC Bank,Savings,2014-07-30,119665
1001001184,PER00122,ICICI Bank,Savings,2011-11-11,42219
1001001185,PER00122,HDFC Bank,Savings,2022-02-08,27687
1001001186,PER00123,Axis Bank,Savings,2024-11-05,120850
1001001187,PER00124,HDFC Bank,Savings,2024-07-15,25292
1001001188,PER00125,Kotak Mahindra Bank,Savings,2023-04-10,150345
1001001189,PER00126,Kotak Mahindra Bank,Savings,2014-02-15,167949
1001001190,PER00127,Kotak Mahindra Bank,Savings,2012-03-20,225373
1001001191,PER00127,SBI,Savings,2022-07-12,204773
1001001192,PER00128,Axis Bank,Savings,2023-05-21,82177
1001001193,PER00129,Kotak Mahindra Bank,Savings,2019-06-10,63630
1001001194,PER00130,Kotak Mahindra Bank,Savings,2024-01-25,61843
1001001195,PER00131,Axis Bank,Savings,2013-09-16,171787
1001001196,PER00131,HDFC Bank,Savings,2024-05-06,123004
1001001197,PER00132,ICICI Bank,Savings,2016-07-26,86134
1001001198,PER00133,HDFC Bank,Savings,2011-04-15,322309
1001001199,PER00133,Kotak Mahindra Bank,Savings,2016-04-06,126116
1001001200,PER00134,ICICI Bank,Savings,2020-09-10,332807
1001001201,PER00134,Kotak Mahindra Bank,Savings,2017-01-14,219731
1001001202,PER00135,SBI,Savings,2013-08-07,70218
1001001203,PER00136,Kotak Mahindra Bank,Savings,2020-03-13,94808
1001001204,PER00136,HDFC Bank,Savings,2023-07-28,81353
1001001205,PER00137,ICICI Bank,Savings,2016-04-14,194921
1001001206,PER00138,Axis Bank,Savings,2012-12-21,219161
1001001207,PER00139,Axis Bank,Savings,2015-04-04,34220
1001001208,PER00139,HDFC Bank,Savings,2017-12-21,59053
1001001209,PER00140,SBI,Savings,2018-12-12,149154
1001001210,PER00141,HDFC Bank,Savings,2023-02-01,136386
1001001211,PER00141,HDFC Bank,Savings,2014-06-21,184324
1001001212,PER00142,Axis Bank,Savings,2020-01-12,163484
1001001213,PER00143,HDFC Bank,Savings,2023-12-16,45513
1001001214,PER00144,Kotak Mahindra Bank,Savings,2021-09-10,85830
1001001215,PER00144,Axis Bank,Savings,2018-10-19,99420
1001001216,PER00145,Kotak Mahindra Bank,Savings,2019-11-19,293436
1001001217,PER00145,Axis Bank,Savings,2020-02-01,270620
1001001218,PER00146,Kotak Mahindra Bank,Savings,2020-04-07,47548
1001001219,PER00147,SBI,Savings,2022-02-15,125734
1001001220,PER00148,HDFC Bank,Savings,2015-12-22,49477
1001001221,PER00148,HDFC Bank,Savings,2020-11-12,134483
1001001222,PER00149,Kotak Mahindra Bank,Savings,2022-06-29,210304
1001001223,PER00149,Axis Bank,Savings,2011-07-15,185299
1001001224,PER00150,Axis Bank,Savings,2020-08-14,147837
1001001225,PER00151,HDFC Bank,Savings,2020-01-30,182464
1001001226,PER00152,HDFC Bank,Savings,2017-07-12,484407
1001001227,PER00153,Axis Bank,Savings,2018-12-11,274704
1001001228,PER00154,HDFC Bank,Savings,2018-03-08,338006
1001001229,PER00155,SBI,Savings,2022-06-14,30713
1001001230,PER00156,SBI,Savings,2024-06-22,169356
1001001231,PER00157,HDFC Bank,Savings,2012-01-10,66902
1001001232,PER00158,SBI,Savings,2011-08-13,0
1001001233,PER00159,ICICI Bank,Savings,2011-03-26,30724
1001001234,PER00160,HDFC Bank,Savings,2021-11-07,82955
1001001235,PER00161,Axis Bank,Savings,2017-04-15,59545
1001001236,PER00162,HDFC Bank,Savings,2017-06-10,49054
1001001237,PER00162,Axis Bank,Savings,2020-07-01,43541
1001001238,PER00163,Axis Bank,Savings,2023-02-20,59732
1001001239,PER00164,SBI,Savings,2013-02-21,152574
1001001240,PER00165,ICICI Bank,Savings,2010-11-20,34169
1001001241,PER00166,SBI,Savings,2019-08-03,145346
1001001242,PER00166,ICICI Bank,Savings,2012-11-15,163512
1001001243,PER00167,Axis Bank,Savings,2023-02-03,126178
1001001244,PER00168,SBI,Savings,2016-11-15,100003
1001001245,PER00168,Axis Bank,Savings,2013-08-01,212715
1001001246,PER00169,HDFC Bank,Savings,2014-04-02,62171
1001001247,PER00170,Kotak Mahindra Bank,Savings,2019-07-23,78397
1001001248,PER00170,Kotak Mahindra Bank,Savings,2010-10-15,238676
1001001249,PER00171,HDFC Bank,Savings,2023-06-06,352078
1001001250,PER00172,HDFC Bank,Savings,2011-07-25,191234
1001001251,PER00173,ICICI Bank,Savings,2017-12-15,0
1001001252,PER00174,Kotak Mahindra Bank,Savings,2023-12-06,81199
1001001253,PER00174,HDFC Bank,Savings,2019-10-08,231138
1001001254,PER00175,HDFC Bank,Savings,2024-07-17,138316
1001001255,PER00175,ICICI Bank,Savings,2013-10-04,112739
1001001256,PER00176,SBI,Savings,2014-10-25,287816
1001001257,PER00176,Axis Bank,Savings,2016-06-10,290463
1001001258,PER00177,Axis Bank,Savings,2021-09-14,193342
1001001259,PER00178,HDFC Bank,Savings,2013-11-04,296630
1001001260,PER00179,Kotak Mahindra Bank,Savings,2018-07-02,0
1001001261,PER00180,ICICI Bank,Savings,2013-05-17,0
1001001262,PER00181,Kotak Mahindra Bank,Savings,2013-10-30,328506
1001001263,PER00182,Kotak Mahindra Bank,Savings,2016-07-10,500863
1001001264,PER00183,Kotak Mahindra Bank,Savings,2016-07-08,156458
1001001265,PER00184,ICICI Bank,Savings,2014-12-09,90985
1001001266,PER00184,SBI,Savings,2012-12-29,248659
1001001267,PER00185,SBI,Savings,2017-10-03,154122
1001001268,PER00185,Axis Bank,Savings,2018-07-02,42613
1001001269,PER00186,Kotak Mahindra Bank,Savings,2013-01-09,76212
1001001270,PER00187,ICICI Bank,Savings,2015-07-16,37159
1001001271,PER00187,SBI,Savings,2019-08-14,167743
1001001272,PER00188,HDFC Bank,Savings,2022-06-02,169228
1001001273,PER00189,HDFC Bank,Savings,2016-11-10,110364
1001001274,PER00190,Axis Bank,Savings,2024-02-23,79357
1001001275,PER00190,Kotak Mahindra Bank,Savings,2012-02-02,23095
1001001276,PER00191,SBI,Savings,2022-06-19,257267
1001001277,PER00192,SBI,Savings,2010-09-14,184050
1001001278,PER00193,ICICI Bank,Savings,2023-03-01,0
1001001279,PER00193,ICICI Bank,Savings,2013-07-28,0
1001001280,PER00194,HDFC Bank,Savings,2015-06-14,71941
1001001281,PER00194,Kotak Mahindra Bank,Savings,2020-07-20,215305
1001001282,PER00195,ICICI Bank,Savings,2019-03-28,53829
1001001283,PER00195,SBI,Savings,2022-06-06,57986
1001001284,PER00196,SBI,Savings,2014-08-20,82956
1001001285,PER00196,ICICI Bank,Savings,2016-04-02,104993
1001001286,PER00197,Axis Bank,Savings,2018-03-08,107554
1001001287,PER00197,SBI,Savings,2011-06-21,98989
1001001288,PER00198,Axis Bank,Savings,2019-05-05,753161
1001001289,PER00198,SBI,Savings,2023-02-03,750732
1001001290,PER00199,Kotak Mahindra Bank,Savings,2016-05-09,141009
1001001291,PER00200,Axis Bank,Savings,2018-11-15,73789
1001001292,PER00201,SBI,Savings,2016-03-03,31254
1001001293,PER00202,SBI,Savings,2017-10-03,17899
1001001294,PER00202,Kotak Mahindra Bank,Savings,2023-06-14,96367
1001001295,PER00203,Axis Bank,Savings,2024-01-21,64674
1001001296,PER00204,ICICI Bank,Savings,2023-02-14,207103
1001001297,PER00205,HDFC Bank,Savings,2018-12-24,118354
1001001298,PER00205,SBI,Savings,2023-03-24,39983
1001001299,PER00206,HDFC Bank,Savings,2018-05-25,98960
1001001300,PER00206,HDFC Bank,Savings,2023-02-05,70757
1001001301,PER00207,Axis Bank,Savings,2017-04-20,70394
1001001302,PER00207,Axis Bank,Savings,2019-07-10,93368
1001001303,PER00208,Kotak Mahindra Bank,Savings,2017-09-09,152833
1001001304,PER00209,HDFC Bank,Savings,2025-02-18,183161
1001001305,PER00209,ICICI Bank,Savings,2016-11-11,24746
1001001306,PER00210,Kotak Mahindra Bank,Savings,2017-02-27,35651
1001001307,PER00211,Axis Bank,Savings,2025-04-21,114704
1001001308,PER00212,SBI,Savings,2025-01-14,76060
1001001309,PER00213,ICICI Bank,Savings,2020-03-24,115498
1001001310,PER00213,ICICI Bank,Savings,2025-02-28,56925
1001001311,PER00214,SBI,Savings,2013-08-09,0
1001001312,PER00214,ICICI Bank,Savings,2024-07-26,0
1001001313,PER00215,HDFC Bank,Savings,2024-05-07,380884
1001001314,PER00216,SBI,Savings,2018-11-07,124605
1001001315,PER00216,HDFC Bank,Savings,2016-03-13,256552
1001001316,PER00217,SBI,Savings,2011-02-03,66369
1001001317,PER00218,ICICI Bank,Savings,2020-06-27,256049
1001001318,PER00219,Kotak Mahindra Bank,Savings,2021-07-11,311966
1001001319,PER00220,ICICI Bank,Savings,2019-07-05,217715
1001001320,PER00220,ICICI Bank,Savings,2018-06-03,130105
1001001321,PER00221,HDFC Bank,Savings,2023-08-22,130343
1001001322,PER00222,ICICI Bank,Savings,2018-10-09,86272
1001001323,PER00222,SBI,Savings,2016-10-30,35828
1001001324,PER00223,SBI,Savings,2012-10-17,280110
1001001325,PER00223,SBI,Savings,2013-09-29,249960
1001001326,PER00224,SBI,Savings,2012-07-21,111245
1001001327,PER00225,SBI,Savings,2014-02-28,161306
1001001328,PER00225,Kotak Mahindra Bank,Savings,2011-08-20,48070
1001001329,PER00226,ICICI Bank,Savings,2013-02-09,0
1001001330,PER00227,HDFC Bank,Savings,2012-06-21,102576
1001001331,PER00227,Kotak Mahindra Bank,Savings,2012-08-26,241201
1001001332,PER00228,ICICI Bank,Savings,2017-12-16,214157
1001001333,PER00229,HDFC Bank,Savings,2017-06-06,227899
1001001334,PER00229,SBI,Savings,2018-11-16,133822
1001001335,PER00230,HDFC Bank,Savings,2015-06-05,251317
1001001336,PER00230,HDFC Bank,Savings,2019-02-01,131440
1001001337,PER00231,ICICI Bank,Savings,2012-12-12,45643
1001001338,PER00232,ICICI Bank,Savings,2020-09-29,0
1001001339,PER00232,SBI,Savings,2025-04-25,0
1001001340,PER00233,HDFC Bank,Savings,2012-01-10,114112
1001001341,PER00233,Kotak Mahindra Bank,Savings,2013-03-01,26069
1001001342,PER00234,ICICI Bank,Savings,2022-11-25,114825
1001001343,PER00234,HDFC Bank,Savings,2021-05-01,69209
1001001344,PER00235,Axis Bank,Savings,2018-08-17,221823
1001001345,PER00236,Axis Bank,Savings,2022-03-30,194104
1001001346,PER00236,SBI,Savings,2022-10-16,58855
1001001347,PER00237,HDFC Bank,Savings,2024-11-27,144343
1001001348,PER00238,Kotak Mahindra Bank,Savings,2014-10-12,34531
1001001349,PER00239,HDFC Bank,Savings,2017-10-18,333880
1001001350,PER00240,Axis Bank,Savings,2021-02-03,235892
1001001351,PER00240,ICICI Bank,Savings,2016-12-21,302469
1001001352,PER00241,Kotak Mahindra Bank,Savings,2020-05-11,156638
1001001353,PER00242,Axis Bank,Savings,2019-05-21,99219
1001001354,PER00243,SBI,Savings,2015-08-24,72027
1001001355,PER00243,HDFC Bank,Savings,2012-08-29,182795
1001001356,PER00244,Axis Bank,Savings,2011-01-29,303046
1001001357,PER00244,HDFC Bank,Savings,2011-10-08,222611
1001001358,PER00245,ICICI Bank,Savings,2015-12-03,91823
1001001359,PER00246,Kotak Mahindra Bank,Savings,2013-02-11,141182
1001001360,PER00246,HDFC Bank,Savings,2017-07-23,110793
1001001361,PER00247,ICICI Bank,Savings,2012-07-12,244720
1001001362,PER00248,SBI,Savings,2011-10-18,46944
1001001363,PER00249,SBI,Savings,2018-02-27,0
1001001364,PER00249,SBI,Savings,2013-02-06,0
1001001365,PER00250,Axis Bank,Savings,2013-01-31,268581
1001001366,PER00250,HDFC Bank,Savings,2022-06-14,205447
1001001367,PER00251,ICICI Bank,Savings,2011-12-18,137254
1001001368,PER00252,HDFC Bank,Savings,2013-10-12,111679
1001001369,PER00252,HDFC Bank,Savings,2025-03-14,240672
1001001370,PER00253,Axis Bank,Savings,2021-12-16,164178
1001001371,PER00254,ICICI Bank,Savings,2019-04-26,263243
1001001372,PER00254,Kotak Mahindra Bank,Savings,2012-12-12,45186
1001001373,PER00255,Kotak Mahindra Bank,Savings,2021-07-20,124790
1001001374,PER00256,Kotak Mahindra Bank,Savings,2011-09-19,130827
1001001375,PER00256,Kotak Mahindra Bank,Savings,2019-10-11,81941
1001001376,PER00257,ICICI Bank,Savings,2023-02-24,115139
1001001377,PER00258,ICICI Bank,Savings,2023-10-17,173216
1001001378,PER00259,SBI,Savings,2023-02-06,106409
1001001379,PER00259,Axis Bank,Savings,2012-09-16,161744
1001001380,PER00260,ICICI Bank,Savings,2015-04-13,167914
1001001381,PER00261,Axis Bank,Savings,2022-11-15,96112
1001001382,PER00261,Kotak Mahindra Bank,Savings,2020-08-11,118366
1001001383,PER00262,SBI,Savings,2015-08-06,208952
1001001384,PER00263,HDFC Bank,Savings,2017-02-27,47028
1001001385,PER00264,Kotak Mahindra Bank,Savings,2017-08-29,476695
1001001386,PER00264,HDFC Bank,Savings,2024-09-02,488476
1001001387,PER00265,Kotak Mahindra Bank,Savings,2012-12-20,39207
1001001388,PER00266,Axis Bank,Savings,2016-04-18,303445
1001001389,PER00266,Axis Bank,Savings,2023-11-30,133448
1001001390,PER00267,Kotak Mahindra Bank,Savings,2020-01-30,135902
1001001391,PER00267,SBI,Savings,2022-01-16,73546
1001001392,PER00268,SBI,Savings,2016-09-29,87318
1001001393,PER00268,ICICI Bank,Savings,2019-09-16,161190
1001001394,PER00269,Axis Bank,Savings,2016-06-29,180621
1001001395,PER00270,Kotak Mahindra Bank,Savings,2010-09-02,0
1001001396,PER00271,Axis Bank,Savings,2011-11-16,299914
1001001397,PER00271,Kotak Mahindra Bank,Savings,2015-01-17,258353
1001001398,PER00272,SBI,Savings,2018-04-21,64980
1001001399,PER00272,Kotak Mahindra Bank,Savings,2024-03-22,101716
1001001400,PER00273,ICICI Bank,Savings,2021-12-21,118650
1001001401,PER00274,Kotak Mahindra Bank,Savings,2018-05-13,44755
1001001402,PER00274,Kotak Mahindra Bank,Savings,2019-12-31,117866
1001001403,PER00275,ICICI Bank,Savings,2022-04-09,61817
1001001404,PER00275,Kotak Mahindra Bank,Savings,2019-11-17,332324
1001001405,PER00276,ICICI Bank,Savings,2015-10-13,108405
1001001406,PER00276,Kotak Mahindra Bank,Savings,2016-06-11,160254
1001001407,PER00277,Axis Bank,Savings,2024-11-02,80210
1001001408,PER00278,Axis Bank,Savings,2025-07-03,0
1001001409,PER00279,SBI,Savings,2012-05-05,151323
1001001410,PER00279,ICICI Bank,Savings,2022-05-30,135792
1001001411,PER00280,HDFC Bank,Savings,2014-06-07,84955
1001001412,PER00281,ICICI Bank,Savings,2020-04-07,99041
1001001413,PER00282,ICICI Bank,Savings,2024-12-21,233505
1001001414,PER00283,Axis Bank,Savings,2021-06-14,199860
1001001415,PER00283,Axis Bank,Savings,2022-05-20,128137
1001001416,PER00284,Axis Bank,Savings,2014-07-26,127364
1001001417,PER00285,HDFC Bank,Savings,2012-01-26,0
1001001418,PER00286,Kotak Mahindra Bank,Savings,2021-01-22,554879
1001001419,PER00287,ICICI Bank,Savings,2021-08-19,63230
1001001420,PER00287,ICICI Bank,Savings,2015-04-01,154278
1001001421,PER00288,HDFC Bank,Savings,2017-06-21,60906
1001001422,PER00288,HDFC Bank,Savings,2022-10-18,376529
1001001423,PER00289,SBI,Savings,2014-12-21,115759
1001001424,PER00290,HDFC Bank,Savings,2024-01-14,45240
1001001425,PER00290,ICICI Bank,Savings,2011-05-06,190358
1001001426,PER00291,Kotak Mahindra Bank,Savings,2013-08-20,93481
1001001427,PER00291,HDFC Bank,Savings,2013-01-29,116068
1001001428,PER00292,Kotak Mahindra Bank,Savings,2019-04-05,19090
1001001429,PER00293,Axis Bank,Savings,2019-09-23,113151
1001001430,PER00293,HDFC Bank,Savings,2021-05-23,100556
1001001431,PER00294,SBI,Savings,2023-05-15,162111
1001001432,PER00295,HDFC Bank,Savings,2018-05-08,243825
1001001433,PER00295,HDFC Bank,Savings,2017-10-05,245816
1001001434,PER00296,HDFC Bank,Savings,2022-11-04,177596
